#Risvollan, 123.38.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2019-05-20 11:00:00Z;0,0004761276;0;2
2019-05-21 11:00:00Z;0,0004409112;0;2
2019-05-22 11:00:00Z;0,0004135032;0;2
2019-05-23 11:00:00Z;0,0009679468;0;2
2019-05-24 11:00:00Z;0,0003624063;0;2
2019-05-25 11:00:00Z;0,0003800069;0;2
2019-05-26 11:00:00Z;0,0003231611;0;2
2019-05-27 11:00:00Z;0,0006408578;0;2
2019-05-28 11:00:00Z;0,0005520887;0;2
2019-05-29 11:00:00Z;0,0005603718;0;2
2019-05-30 11:00:00Z;0,001929299;0;2
2019-05-31 11:00:00Z;0,01257892;0;2
2019-06-01 11:00:00Z;0,001723511;0;2
2019-06-02 11:00:00Z;0,00106105;0;2
2019-06-03 11:00:00Z;0,001046768;0;2
2019-06-04 11:00:00Z;0,00164334;0;2
2019-06-05 11:00:00Z;0,0006069751;0;2
2019-06-06 11:00:00Z;0,0006442113;0;2
2019-06-07 11:00:00Z;0,008933119;0;2
2019-06-08 11:00:00Z;0,002508006;0;2
2019-06-09 11:00:00Z;0,003204856;0;2
2019-06-10 11:00:00Z;0,002740742;0;2
2019-06-11 11:00:00Z;0,001207446;0;2
2019-06-12 11:00:00Z;0,001071549;0;2
2019-06-13 11:00:00Z;0,004402315;0;2
2019-06-14 11:00:00Z;0,0009850953;0;2
2019-06-15 11:00:00Z;0,0007677858;0;2
2019-06-16 11:00:00Z;0,0006653721;0;2
2019-06-17 11:00:00Z;0,002154796;0;2
2019-06-18 11:00:00Z;0,007235367;0;2
2019-06-19 11:00:00Z;0,004136508;0;2
2019-06-20 11:00:00Z;0,002863285;0;2
2019-06-21 11:00:00Z;0,008956885;0;2
2019-06-22 11:00:00Z;0,002413473;0;2
2019-06-23 11:00:00Z;0,00146374;0;2
2019-06-24 11:00:00Z;0,001014458;0;2
2019-06-25 11:00:00Z;0,001252548;0;2
2019-06-26 11:00:00Z;0,0006752546;0;2
2019-06-27 11:00:00Z;0,0009408109;0;2
2019-06-28 11:00:00Z;0,001928564;0;2
2019-06-29 11:00:00Z;0,007699038;0;2
2019-06-30 11:00:00Z;0,009649177;0;2
2019-07-01 11:00:00Z;0,00768932;0;2
2019-07-02 11:00:00Z;0,003358821;0;2
2019-07-03 11:00:00Z;0,004250335;0;2
2019-07-04 11:00:00Z;0,01236359;0;2
2019-07-05 11:00:00Z;0,004364047;0;2
2019-07-06 11:00:00Z;0,002446761;0;2
2019-07-07 11:00:00Z;0,001769367;0;2
2019-07-08 11:00:00Z;0,001753401;0;2
2019-07-09 11:00:00Z;0,001066173;0;2
2019-07-10 11:00:00Z;0,0008645095;0;2
2019-07-11 11:00:00Z;0,0007369285;0;2
2019-07-12 11:00:00Z;0,0006267237;0;2
2019-07-13 11:00:00Z;0,0005340899;0;2
